RowsA,ColsA,ColsB,CGRA,CPU,Speedup
62,33,32,67464,1002797,"14,86"
62,33,33,70722,1034100,"14,62"
62,33,34,101051,996043,"9,86"
62,33,35,131560,1025307,"7,79"
62,34,32,69834,965162,"13,82"
62,34,33,71630,1064926,"14,87"
62,34,34,104021,1097031,"10,55"
62,34,35,132807,1129406,"8,50"
62,35,32,71303,1062317,"14,90"
62,35,33,74954,1024067,"13,66"
62,35,34,106120,1128786,"10,64"
62,35,35,140170,1161821,"8,29"
63,32,32,69440,924336,"13,31"
63,32,33,71226,1019731,"14,32"
63,32,34,71970,1050601,"14,60"
63,32,35,98144,1081471,"11,02"
63,33,32,71488,952504,"13,32"
63,33,33,73329,1050779,"14,33"
63,33,34,74000,1012107,"13,68"
63,33,35,100873,1041843,"10,33"
63,34,32,73536,980728,"13,34"
63,34,33,75464,1082101,"14,34"
63,34,34,74083,1042021,"14,07"
63,34,35,103842,1072713,"10,33"
63,35,32,75584,1008952,"13,35"
63,35,33,77599,1113286,"14,35"
63,35,34,76131,1072083,"14,08"
63,35,35,106999,1103509,"10,31"
64,32,32,69440,1004479,"14,47"
64,32,33,71227,968395,"13,60"
64,32,34,69788,1067276,"15,29"
64,32,35,99242,1098636,"11,07"
64,33,32,71488,1035143,"14,48"
64,33,33,73363,1067457,"14,55"
64,33,34,74066,1028171,"13,88"
64,33,35,102387,1058379,"10,34"
64,34,32,73536,1065863,"14,49"
64,34,33,75499,1099276,"14,56"
64,34,34,74093,1058560,"14,29"
64,34,35,105402,1089739,"10,34"
64,35,32,75584,1096583,"14,51"
64,35,33,77635,1130956,"14,57"
64,35,34,76141,1089099,"14,30"
64,35,35,108498,1121024,"10,33"
65,32,32,69593,1020110,"14,66"
65,32,33,70921,1052101,"14,83"
65,32,34,85357,1083951,"12,70"
65,32,35,116947,1115801,"9,54"
65,33,32,71639,982740,"13,72"
65,33,33,73010,1013479,"13,88"
65,33,34,87677,1044235,"11,91"
65,33,35,120104,1074915,"8,95"
65,34,32,73687,1011860,"13,73"
65,34,33,75120,1043585,"13,89"
65,34,34,90340,1075099,"11,90"
65,34,35,123643,1106765,"8,95"
65,35,32,75735,1040980,"13,75"
65,35,33,77210,1073615,"13,91"
65,35,34,92826,1106115,"11,92"
65,35,35,125918,1138539,"9,04"
66,32,32,69854,1035803,"14,83"
66,32,33,71962,998655,"13,88"
66,32,34,101083,1028883,"10,18"
